Room 1-1
RoomSize=597
Life Count=1
BlockPics=BlockPics/196608.png
EdgePics=EdgePics/131084.png
ExtrasPic=ExtrasPic/196617.png
StripPics=StripPics/131082.png
TilesPics=TilesPics/131074-2.png
StageName=Green Hill Fever Recreated
ActNumber=1
Music=https%3A%2F%2Farchive.org%2Fdownload%2Fsonic-mana-original-soundtrack%2F1.06%2520Green%2520Hill%2520Zone%2520Act%25201.mp3
Type=8, X=5, Y=33
Type=3, X=12, Y=95
Type=3, X=14, Y=95
Type=3, X=3, Y=96
Type=3, X=2, Y=98
Type=3, X=4, Y=98
Type=3, X=8, Y=99
Type=3, X=10, Y=99
Type=1, X=12, Y=99
Type=3, X=2, Y=100
Type=3, X=4, Y=100
Type=7, X=8, Y=101
Type=6, X=3, Y=102
Type=1, X=8, Y=103
Type=3, X=2, Y=105
Type=3, X=4, Y=105
Type=1, X=10, Y=107
Type=1, X=2, Y=109
Type=3, X=12, Y=109
Type=3, X=14, Y=109
Type=1, X=12, Y=111
Type=7, X=6, Y=113
Type=1, X=12, Y=115
Type=1, X=10, Y=121
Type=3, X=10, Y=130
Type=3, X=12, Y=130
Type=7, X=5, Y=131
Type=4, X=10, Y=133
Type=0, X=5, Y=137
Type=3, X=12, Y=140
Type=3, X=14, Y=140
Type=0, X=12, Y=142
Type=14, X=13, Y=147
Type=0, X=12, Y=148
Type=7, X=6, Y=150
Type=0, X=11, Y=153
Type=0, X=5, Y=155
Type=3, X=4, Y=157
Type=3, X=6, Y=157
Type=3, X=12, Y=158
Type=1, X=4, Y=159
Type=3, X=11, Y=160
Type=3, X=13, Y=160
Type=3, X=12, Y=162
Type=0, X=3, Y=163
Type=7, X=3, Y=165
Type=4, X=11, Y=165
Type=3, X=12, Y=167
Type=0, X=1, Y=168
Type=3, X=11, Y=169
Type=3, X=13, Y=169
Type=3, X=12, Y=171
Type=0, X=5, Y=173
Type=5, X=12, Y=173
Type=3, X=0, Y=175
Type=3, X=2, Y=175
Type=4, X=11, Y=177
Type=0, X=0, Y=178
Type=0, X=5, Y=183
Type=3, X=10, Y=183
Type=3, X=12, Y=183
Type=7, X=3, Y=185
Type=3, X=5, Y=187
Type=3, X=7, Y=187
Type=0, X=10, Y=187
Type=0, X=5, Y=191
Type=3, X=10, Y=191
Type=3, X=12, Y=191
Type=3, X=5, Y=195
Type=3, X=7, Y=195
Type=0, X=10, Y=195
Type=0, X=5, Y=199
Type=7, X=8, Y=200
Type=7, X=2, Y=203
Type=0, X=10, Y=203
Type=3, X=7, Y=206
Type=3, X=9, Y=206
Type=0, X=12, Y=207
Type=3, X=8, Y=208
Type=0, X=7, Y=211
Type=3, X=7, Y=213
Type=3, X=9, Y=213
Type=1, X=2, Y=215
Type=3, X=8, Y=215
Type=0, X=7, Y=219
Type=1, X=12, Y=221
Type=0, X=9, Y=225
Type=7, X=2, Y=227
Type=3, X=10, Y=230
Type=3, X=9, Y=232
Type=3, X=11, Y=232
Type=3, X=10, Y=234
Type=4, X=9, Y=237
Type=13, X=7, Y=242
Type=3, X=7, Y=244
Type=3, X=9, Y=244
Type=13, X=6, Y=247
Type=7, X=1, Y=249
Type=13, X=4, Y=252
Type=3, X=12, Y=254
Type=3, X=14, Y=254
Type=0, X=1, Y=256
Type=1, X=12, Y=256
Type=3, X=7, Y=257
Type=3, X=9, Y=257
Type=3, X=8, Y=259
Type=0, X=7, Y=262
Type=0, X=0, Y=267

Room 3-1
RoomSize=501
Type=8, X=7, Y=14
Type=0, X=0, Y=15
Type=0, X=3, Y=15
Type=0, X=6, Y=15
Type=0, X=9, Y=15
Type=0, X=12, Y=15
Type=1, X=12, Y=17
Type=3, X=2, Y=19
Type=3, X=4, Y=19
Type=7, X=8, Y=19
Type=1, X=2, Y=21
Type=3, X=6, Y=24
Type=3, X=8, Y=24
Type=1, X=12, Y=24
Type=3, X=7, Y=26
Type=0, X=6, Y=29
Type=0, X=0, Y=32
Type=0, X=12, Y=32
Type=7, X=0, Y=34
Type=7, X=9, Y=34
Type=3, X=12, Y=35
Type=3, X=14, Y=35
Type=3, X=13, Y=37
Type=0, X=0, Y=39
Type=0, X=12, Y=39
Type=0, X=4, Y=42
Type=0, X=8, Y=42
Type=0, X=6, Y=46
Type=3, X=0, Y=48
Type=3, X=2, Y=48
Type=7, X=5, Y=48
Type=3, X=1, Y=50
Type=0, X=4, Y=50
Type=0, X=8, Y=50
Type=0, X=0, Y=53
Type=0, X=12, Y=53
Type=2, X=6, Y=57
Type=3, X=12, Y=58
Type=3, X=14, Y=58
Type=1, X=12, Y=61
Type=3, X=6, Y=62
Type=3, X=8, Y=62
Type=2, X=6, Y=65
Type=3, X=12, Y=65
Type=3, X=14, Y=65
Type=1, X=12, Y=68
Type=7, X=6, Y=69
Type=3, X=9, Y=71
Type=3, X=11, Y=71
Type=13, X=7, Y=74
Type=13, X=6, Y=79
Type=7, X=1, Y=82
Type=13, X=5, Y=83
Type=0, X=2, Y=87
Type=3, X=7, Y=90
Type=0, X=2, Y=91
Type=3, X=7, Y=92
Type=0, X=6, Y=95
Type=0, X=9, Y=100
Type=3, X=6, Y=102
Type=3, X=8, Y=102
Type=7, X=7, Y=104
Type=9, X=2, Y=106
Type=0, X=6, Y=109
Type=7, X=2, Y=111
Type=5, X=7, Y=115
Type=4, X=6, Y=119
Type=14, X=9, Y=122
Type=0, X=8, Y=123
Type=0, X=12, Y=125
Type=3, X=12, Y=130
Type=3, X=14, Y=130
Type=7, X=8, Y=134
Type=4, X=12, Y=137
Type=0, X=5, Y=138
Type=3, X=6, Y=143
Type=3, X=5, Y=145
Type=3, X=7, Y=145
Type=3, X=6, Y=147
Type=4, X=5, Y=150
Type=5, X=13, Y=151
Type=1, X=12, Y=153
Type=1, X=0, Y=154
Type=3, X=12, Y=155
Type=3, X=14, Y=155
Type=3, X=3, Y=157
Type=3, X=5, Y=157
Type=1, X=12, Y=157
Type=1, X=3, Y=159
Type=7, X=9, Y=162
Type=1, X=0, Y=163
Type=7, X=6, Y=164
Type=0, X=0, Y=167
Type=7, X=8, Y=167
Type=0, X=6, Y=171
Type=3, X=6, Y=174
Type=0, X=12, Y=174
Type=7, X=8, Y=176
Type=0, X=5, Y=178
Type=3, X=11, Y=178
Type=0, X=10, Y=180
Type=0, X=10, Y=184
Type=0, X=5, Y=188
Type=3, X=6, Y=193
Type=3, X=5, Y=195
Type=3, X=7, Y=195
Type=3, X=6, Y=197
Type=4, X=5, Y=200
Type=5, X=5, Y=202
Type=3, X=4, Y=205
Type=0, X=9, Y=205
Type=3, X=4, Y=207
Type=7, X=9, Y=207
Type=3, X=3, Y=209
Type=0, X=10, Y=209
Type=3, X=3, Y=211
Type=0, X=8, Y=213
Type=6, X=3, Y=215
Type=3, X=4, Y=217
Type=3, X=6, Y=217
Type=3, X=5, Y=219
Type=3, X=5, Y=221
Type=3, X=7, Y=221
Type=3, X=6, Y=223
Type=3, X=6, Y=225
Type=3, X=8, Y=225
Type=3, X=7, Y=227
Type=6, X=7, Y=229
Type=0, X=6, Y=233
Type=2, X=0, Y=236
Type=2, X=12, Y=236
Type=2, X=6, Y=238
Type=3, X=0, Y=239
Type=3, X=2, Y=239
Type=3, X=13, Y=239
Type=7, X=5, Y=240
Type=2, X=0, Y=242
Type=2, X=12, Y=242
Type=3, X=6, Y=244
Type=3, X=8, Y=244
Type=2, X=6, Y=247
Type=7, X=5, Y=250
Type=0, X=0, Y=251
Type=0, X=12, Y=251
Type=7, X=9, Y=252
Type=3, X=13, Y=253
Type=0, X=6, Y=254
Type=3, X=13, Y=255
Type=0, X=0, Y=257
Type=0, X=12, Y=257
Type=0, X=8, Y=261
Type=3, X=4, Y=262
Type=3, X=6, Y=262
Type=13, X=2, Y=265
Type=7, X=8, Y=267
Type=7, X=0, Y=268
Type=0, X=6, Y=269
Type=0, X=3, Y=273
Type=5, X=11, Y=273
Type=3, X=2, Y=275
Type=3, X=4, Y=275
Type=0, X=10, Y=275
Type=0, X=2, Y=278
Type=3, X=7, Y=279
Type=3, X=9, Y=279
Type=0, X=7, Y=282
Type=0, X=12, Y=286

Room 3-2
RoomSize=597
Type=8, X=7, Y=14
Type=0, X=0, Y=15
Type=0, X=3, Y=15
Type=0, X=6, Y=15
Type=0, X=9, Y=15
Type=0, X=12, Y=15
Type=7, X=5, Y=17
Type=7, X=3, Y=18
Type=1, X=7, Y=20
Type=3, X=8, Y=25
Type=3, X=7, Y=27
Type=3, X=9, Y=27
Type=3, X=8, Y=29
Type=4, X=7, Y=32
Type=3, X=2, Y=34
Type=3, X=4, Y=34
Type=1, X=2, Y=36
Type=5, X=3, Y=38
Type=1, X=12, Y=38
Type=1, X=2, Y=40
Type=1, X=10, Y=43
Type=9, X=4, Y=46
Type=7, X=4, Y=48
Type=7, X=1, Y=51
Type=7, X=7, Y=53
Type=4, X=5, Y=58
Type=5, X=8, Y=61
Type=7, X=3, Y=63
Type=0, X=7, Y=64
Type=3, X=7, Y=67
Type=3, X=9, Y=67
Type=7, X=5, Y=69
Type=3, X=7, Y=71
Type=3, X=9, Y=71
Type=11, X=7, Y=76
Type=3, X=7, Y=79
Type=3, X=9, Y=79
Type=7, X=5, Y=81
Type=3, X=7, Y=83
Type=3, X=9, Y=83
Type=3, X=0, Y=87
Type=3, X=2, Y=87
Type=11, X=7, Y=88
Type=1, X=0, Y=90
Type=7, X=7, Y=91
Type=1, X=6, Y=94
Type=1, X=11, Y=99
Type=3, X=12, Y=104
Type=3, X=11, Y=106
Type=3, X=13, Y=106
Type=3, X=12, Y=108
Type=3, X=6, Y=111
Type=3, X=8, Y=111
Type=4, X=11, Y=111
Type=7, X=2, Y=112
Type=3, X=6, Y=113
Type=3, X=8, Y=113
Type=2, X=6, Y=116
Type=3, X=11, Y=118
Type=3, X=13, Y=118
Type=2, X=1, Y=121
Type=2, X=11, Y=121
Type=1, X=6, Y=125
Type=7, X=2, Y=127
Type=3, X=7, Y=127
Type=3, X=9, Y=127
Type=0, X=0, Y=132
Type=14, X=6, Y=136
Type=0, X=5, Y=137
Type=0, X=12, Y=138
Type=3, X=13, Y=140
Type=0, X=3, Y=142
Type=3, X=13, Y=142
Type=3, X=2, Y=144
Type=3, X=4, Y=144
Type=3, X=13, Y=144
Type=3, X=13, Y=146
Type=7, X=5, Y=148
Type=3, X=13, Y=148
Type=7, X=4, Y=150
Type=3, X=13, Y=150
Type=7, X=5, Y=152
Type=3, X=13, Y=152
Type=4, X=1, Y=154
Type=3, X=13, Y=154
Type=3, X=13, Y=156
Type=3, X=13, Y=158
Type=3, X=2, Y=159
Type=3, X=4, Y=159
Type=6, X=13, Y=160
Type=3, X=3, Y=164
Type=3, X=5, Y=164
Type=0, X=12, Y=164
Type=4, X=3, Y=166
Type=0, X=7, Y=166
Type=3, X=6, Y=171
Type=3, X=5, Y=173
Type=3, X=7, Y=173
Type=3, X=6, Y=175
Type=4, X=5, Y=178
Type=3, X=10, Y=178
Type=5, X=1, Y=179
Type=3, X=10, Y=180
Type=3, X=10, Y=182
Type=0, X=0, Y=184
Type=3, X=10, Y=184
Type=3, X=10, Y=186
Type=3, X=10, Y=188
Type=3, X=1, Y=189
Type=3, X=10, Y=190
Type=3, X=0, Y=191
Type=3, X=2, Y=191
Type=3, X=10, Y=192
Type=3, X=1, Y=193
Type=3, X=10, Y=194
Type=4, X=0, Y=196
Type=3, X=10, Y=196
Type=3, X=1, Y=198
Type=6, X=10, Y=198
Type=3, X=1, Y=200
Type=3, X=10, Y=200
Type=3, X=1, Y=202
Type=3, X=10, Y=202
Type=3, X=1, Y=204
Type=3, X=9, Y=204
Type=3, X=11, Y=204
Type=3, X=1, Y=206
Type=3, X=10, Y=206
Type=3, X=1, Y=208
Type=3, X=9, Y=208
Type=3, X=11, Y=208
Type=3, X=1, Y=210
Type=3, X=10, Y=210
Type=3, X=1, Y=212
Type=3, X=9, Y=212
Type=3, X=11, Y=212
Type=3, X=1, Y=214
Type=3, X=10, Y=214
Type=3, X=1, Y=216
Type=3, X=9, Y=216
Type=3, X=11, Y=216
Type=6, X=1, Y=218
Type=3, X=10, Y=218
Type=7, X=5, Y=219
Type=3, X=1, Y=220
Type=6, X=10, Y=220
Type=3, X=1, Y=222
Type=0, X=3, Y=222
Type=3, X=0, Y=224
Type=3, X=2, Y=224
Type=0, X=6, Y=225
Type=3, X=1, Y=226
Type=3, X=0, Y=228
Type=3, X=2, Y=228
Type=13, X=7, Y=228
Type=3, X=1, Y=230
Type=7, X=6, Y=230
Type=3, X=0, Y=232
Type=3, X=2, Y=232
Type=0, X=7, Y=232
Type=3, X=1, Y=234
Type=3, X=0, Y=236
Type=3, X=2, Y=236
Type=3, X=8, Y=237
Type=3, X=1, Y=238
Type=3, X=7, Y=239
Type=3, X=9, Y=239
Type=6, X=1, Y=240
Type=3, X=8, Y=241
Type=1, X=0, Y=244
Type=4, X=7, Y=244
Type=3, X=10, Y=246
Type=3, X=12, Y=246
Type=1, X=2, Y=247
Type=7, X=0, Y=248
Type=1, X=10, Y=248
Type=3, X=9, Y=250
Type=3, X=1, Y=252
Type=3, X=3, Y=252
Type=1, X=8, Y=253
Type=1, X=0, Y=255
Type=7, X=8, Y=258
Type=1, X=3, Y=260
Type=3, X=10, Y=260
Type=3, X=12, Y=260
Type=1, X=11, Y=263
Type=0, X=6, Y=267
Type=3, X=11, Y=268
Type=7, X=7, Y=269
Type=1, X=11, Y=272
Type=7, X=2, Y=273
Type=7, X=8, Y=273
Type=0, X=6, Y=277
Type=3, X=6, Y=279
Type=3, X=8, Y=279
Type=0, X=11, Y=280
Type=3, X=7, Y=281
Type=0, X=6, Y=283
Type=0, X=1, Y=286

Room 3-3
RoomSize=597
Type=3, X=1, Y=1
Type=3, X=14, Y=1
Type=1, X=6, Y=3
Type=3, X=3, Y=4
Type=3, X=11, Y=4
Type=0, X=0, Y=7
Type=0, X=12, Y=7
Type=1, X=0, Y=14
Type=1, X=4, Y=14
Type=1, X=8, Y=14
Type=1, X=12, Y=14
Type=3, X=6, Y=16
Type=3, X=8, Y=16
Type=3, X=7, Y=18
Type=3, X=9, Y=18
Type=3, X=8, Y=20
Type=3, X=10, Y=20
Type=3, X=8, Y=22
Type=3, X=10, Y=22
Type=3, X=8, Y=24
Type=3, X=10, Y=24
Type=3, X=7, Y=26
Type=3, X=9, Y=26
Type=3, X=6, Y=28
Type=3, X=8, Y=28
Type=3, X=6, Y=30
Type=3, X=8, Y=30
Type=3, X=6, Y=32
Type=3, X=8, Y=32
Type=3, X=6, Y=34
Type=3, X=8, Y=34
Type=8, X=7, Y=35
Type=0, X=0, Y=37
Type=0, X=3, Y=37
Type=0, X=6, Y=37
Type=0, X=9, Y=37
Type=0, X=12, Y=37
Type=14, X=8, Y=41
Type=0, X=7, Y=42
Type=3, X=8, Y=44
Type=0, X=7, Y=47
Type=0, X=5, Y=51
Type=7, X=8, Y=53
Type=7, X=2, Y=55
Type=0, X=10, Y=55
Type=0, X=5, Y=59
Type=7, X=1, Y=61
Type=0, X=0, Y=63
Type=3, X=0, Y=66
Type=3, X=2, Y=66
Type=0, X=5, Y=67
Type=3, X=1, Y=68
Type=3, X=0, Y=70
Type=3, X=2, Y=70
Type=0, X=7, Y=71
Type=3, X=1, Y=72
Type=3, X=9, Y=73
Type=3, X=11, Y=73
Type=4, X=0, Y=75
Type=0, X=9, Y=75
Type=7, X=4, Y=76
Type=3, X=2, Y=79
Type=3, X=4, Y=79
Type=0, X=7, Y=79
Type=3, X=3, Y=81
Type=5, X=3, Y=83
Type=0, X=11, Y=83
Type=7, X=5, Y=85
Type=3, X=12, Y=85
Type=4, X=2, Y=87
Type=0, X=11, Y=87
Type=9, X=7, Y=91
Type=3, X=6, Y=93
Type=3, X=8, Y=93
Type=9, X=7, Y=95
Type=3, X=6, Y=97
Type=3, X=8, Y=97
Type=9, X=3, Y=99
Type=7, X=0, Y=101
Type=3, X=7, Y=101
Type=0, X=6, Y=103
Type=3, X=4, Y=105
Type=3, X=6, Y=105
Type=3, X=5, Y=107
Type=9, X=7, Y=108
Type=3, X=3, Y=109
Type=3, X=5, Y=109
Type=7, X=8, Y=110
Type=3, X=4, Y=111
Type=0, X=7, Y=112
Type=6, X=4, Y=114
Type=3, X=4, Y=116
Type=3, X=6, Y=116
Type=3, X=5, Y=118
Type=3, X=5, Y=120
Type=3, X=7, Y=120
Type=3, X=6, Y=122
Type=3, X=6, Y=124
Type=3, X=8, Y=124
Type=3, X=7, Y=126
Type=6, X=7, Y=128
Type=9, X=6, Y=131
Type=0, X=6, Y=136
Type=14, X=13, Y=137
Type=0, X=12, Y=138
Type=0, X=11, Y=141
Type=7, X=5, Y=145
Type=7, X=3, Y=146
Type=3, X=12, Y=146
Type=7, X=4, Y=148
Type=3, X=11, Y=148
Type=3, X=13, Y=148
Type=3, X=12, Y=150
Type=4, X=11, Y=153
Type=7, X=5, Y=157
Type=11, X=2, Y=162
Type=0, X=11, Y=162
Type=3, X=12, Y=164
Type=0, X=11, Y=167
Type=3, X=12, Y=169
Type=0, X=11, Y=172
Type=0, X=6, Y=175
Type=7, X=1, Y=178
Type=7, X=1, Y=182
Type=5, X=10, Y=182
Type=7, X=1, Y=186
Type=4, X=9, Y=186
Type=3, X=7, Y=188
Type=3, X=9, Y=188
Type=0, X=5, Y=191
Type=3, X=8, Y=193
Type=0, X=7, Y=196
Type=3, X=2, Y=198
Type=3, X=4, Y=198
Type=7, X=1, Y=200
Type=0, X=9, Y=200
Type=0, X=2, Y=203
Type=0, X=11, Y=204
Type=0, X=7, Y=208
Type=5, X=12, Y=210
Type=0, X=4, Y=212
Type=7, X=8, Y=212
Type=0, X=11, Y=215
Type=0, X=2, Y=216
Type=7, X=0, Y=218
Type=3, X=2, Y=221
Type=3, X=4, Y=221
Type=0, X=6, Y=221
Type=9, X=1, Y=226
Type=3, X=4, Y=229
Type=3, X=6, Y=229
Type=9, X=2, Y=231
Type=3, X=3, Y=233
Type=7, X=4, Y=233
Type=3, X=5, Y=233
Type=0, X=2, Y=236
Type=0, X=7, Y=240
Type=3, X=8, Y=245
Type=3, X=7, Y=247
Type=3, X=9, Y=247
Type=3, X=8, Y=249
Type=4, X=7, Y=252
Type=3, X=12, Y=252
Type=3, X=14, Y=252
Type=0, X=12, Y=255
Type=3, X=3, Y=257
Type=3, X=5, Y=257
Type=7, X=9, Y=257
Type=0, X=6, Y=259
Type=5, X=1, Y=261
Type=7, X=9, Y=261
Type=0, X=0, Y=263
Type=3, X=8, Y=266
Type=0, X=2, Y=267
Type=0, X=7, Y=269
Type=7, X=8, Y=271
Type=0, X=11, Y=273
Type=7, X=5, Y=279
Type=3, X=4, Y=280
Type=3, X=6, Y=280
Type=0, X=11, Y=280
Type=0, X=4, Y=283
Type=3, X=12, Y=284
Type=3, X=14, Y=284
Type=7, X=2, Y=285
Type=3, X=13, Y=286
Type=0, X=2, Y=287
Type=0, X=12, Y=288
Type=0, X=0, Y=292
Type=3, X=6, Y=293
Type=0, X=12, Y=294
Type=0, X=5, Y=296
Type=7, X=5, Y=298
Type=3, X=9, Y=299
Type=3, X=11, Y=299
Type=0, X=0, Y=300
Type=3, X=10, Y=301
Type=0, X=9, Y=304
Type=0, X=0, Y=308

Room 4-1
RoomSize=606
Type=8, X=7, Y=14
Type=0, X=0, Y=15
Type=0, X=3, Y=15
Type=0, X=6, Y=15
Type=0, X=9, Y=15
Type=0, X=12, Y=15
Type=3, X=6, Y=21
Type=3, X=8, Y=21
Type=0, X=10, Y=22
Type=12, X=3, Y=24
Type=7, X=8, Y=25
Type=3, X=3, Y=26
Type=3, X=5, Y=26
Type=11, X=2, Y=29
Type=0, X=5, Y=33
Type=7, X=6, Y=35
Type=0, X=0, Y=38
Type=7, X=3, Y=38
Type=0, X=12, Y=38
Type=0, X=5, Y=40
Type=3, X=1, Y=41
Type=3, X=3, Y=41
Type=0, X=11, Y=42
Type=0, X=1, Y=43
Type=7, X=4, Y=43
Type=0, X=6, Y=47
Type=3, X=12, Y=47
Type=7, X=1, Y=49
Type=3, X=12, Y=49
Type=0, X=11, Y=51
Type=0, X=6, Y=55
Type=3, X=3, Y=57
Type=3, X=5, Y=57
Type=0, X=3, Y=59
Type=0, X=9, Y=59
Type=7, X=6, Y=61
Type=0, X=3, Y=63
Type=0, X=9, Y=63
Type=7, X=7, Y=66
Type=3, X=11, Y=68
Type=3, X=13, Y=68
Type=3, X=12, Y=70
Type=2, X=6, Y=71
Type=4, X=11, Y=73
Type=7, X=3, Y=76
Type=2, X=6, Y=78
Type=5, X=2, Y=82
Type=2, X=6, Y=84
Type=4, X=1, Y=88
Type=7, X=7, Y=88
Type=2, X=6, Y=90
Type=3, X=12, Y=93
Type=3, X=11, Y=95
Type=3, X=13, Y=95
Type=2, X=6, Y=96
Type=3, X=12, Y=97
Type=4, X=11, Y=100
Type=3, X=2, Y=101
Type=3, X=4, Y=101
Type=2, X=6, Y=102
Type=3, X=3, Y=103
Type=2, X=2, Y=106
Type=2, X=10, Y=106
Type=2, X=6, Y=111
Type=3, X=12, Y=112
Type=3, X=14, Y=112
Type=3, X=13, Y=114
Type=2, X=0, Y=116
Type=2, X=12, Y=116
Type=2, X=6, Y=119
Type=0, X=1, Y=122
Type=7, X=4, Y=122
Type=5, X=1, Y=127
Type=0, X=6, Y=128
Type=1, X=0, Y=129
Type=7, X=4, Y=130
Type=1, X=0, Y=132
Type=0, X=12, Y=132
Type=0, X=8, Y=136
Type=3, X=9, Y=139
Type=3, X=11, Y=139
Type=0, X=12, Y=140
Type=11, X=6, Y=143
Type=0, X=6, Y=148
Type=14, X=1, Y=149
Type=0, X=0, Y=150
Type=0, X=2, Y=154
Type=13, X=4, Y=158
Type=13, X=5, Y=162
Type=1, X=12, Y=166
Type=3, X=2, Y=169
Type=3, X=4, Y=169
Type=1, X=6, Y=169
Type=7, X=6, Y=171
Type=1, X=2, Y=172
Type=1, X=12, Y=173
Type=3, X=11, Y=175
Type=3, X=13, Y=175
Type=1, X=0, Y=177
Type=1, X=10, Y=177
Type=3, X=12, Y=179
Type=3, X=14, Y=179
Type=1, X=12, Y=181
Type=1, X=2, Y=182
Type=3, X=0, Y=184
Type=3, X=2, Y=184
Type=7, X=5, Y=184
Type=1, X=0, Y=186
Type=5, X=12, Y=188
Type=1, X=1, Y=190
Type=1, X=11, Y=190
Type=2, X=1, Y=193
Type=2, X=11, Y=193
Type=1, X=6, Y=195
Type=7, X=0, Y=196
Type=3, X=7, Y=198
Type=3, X=9, Y=198
Type=1, X=1, Y=200
Type=1, X=11, Y=200
Type=7, X=5, Y=201
Type=9, X=7, Y=203
Type=7, X=5, Y=205
Type=3, X=10, Y=205
Type=3, X=12, Y=205
Type=9, X=7, Y=207
Type=7, X=5, Y=209
Type=3, X=8, Y=209
Type=3, X=10, Y=209
Type=9, X=7, Y=211
Type=7, X=7, Y=213
Type=0, X=12, Y=215
Type=0, X=7, Y=217
Type=0, X=2, Y=219
Type=0, X=10, Y=221
Type=3, X=2, Y=222
Type=3, X=4, Y=222
Type=0, X=9, Y=226
Type=3, X=2, Y=227
Type=3, X=4, Y=227
Type=3, X=10, Y=229
Type=7, X=7, Y=230
Type=3, X=11, Y=231
Type=3, X=2, Y=233
Type=3, X=4, Y=233
Type=3, X=12, Y=233
Type=3, X=13, Y=235
Type=4, X=12, Y=238
Type=3, X=13, Y=240
Type=6, X=3, Y=241
Type=3, X=13, Y=242
Type=5, X=13, Y=244
Type=0, X=2, Y=245
Type=3, X=13, Y=246
Type=7, X=3, Y=248
Type=3, X=13, Y=248
Type=3, X=2, Y=250
Type=3, X=4, Y=250
Type=3, X=13, Y=250
Type=3, X=13, Y=252
Type=5, X=13, Y=254
Type=3, X=13, Y=256
Type=4, X=2, Y=257
Type=3, X=13, Y=258
Type=6, X=13, Y=260
Type=3, X=2, Y=261
Type=3, X=4, Y=261
Type=3, X=13, Y=262
Type=3, X=13, Y=264
Type=3, X=13, Y=266
Type=3, X=13, Y=268
Type=3, X=2, Y=269
Type=3, X=4, Y=269
Type=3, X=13, Y=270
Type=3, X=13, Y=272
Type=3, X=3, Y=273
Type=3, X=5, Y=273
Type=3, X=13, Y=274
Type=3, X=13, Y=276
Type=3, X=4, Y=277
Type=3, X=6, Y=277
Type=3, X=13, Y=278
Type=6, X=5, Y=279
Type=3, X=13, Y=280
Type=6, X=13, Y=282
Type=7, X=7, Y=283
Type=4, X=4, Y=286
Type=0, X=12, Y=286
Type=7, X=6, Y=288
Type=5, X=10, Y=290
Type=0, X=9, Y=293
Type=7, X=4, Y=295
Type=0, X=9, Y=297
Type=3, X=8, Y=299
Type=0, X=6, Y=302
Type=7, X=8, Y=304
Type=0, X=10, Y=307
Type=3, X=0, Y=309
Type=3, X=2, Y=309
Type=3, X=1, Y=311
Type=0, X=10, Y=312
Type=0, X=0, Y=314
Type=0, X=6, Y=318

Room 4-2
RoomSize=546
Type=8, X=7, Y=14
Type=0, X=0, Y=15
Type=0, X=3, Y=15
Type=0, X=6, Y=15
Type=0, X=9, Y=15
Type=0, X=12, Y=15
Type=3, X=11, Y=17
Type=3, X=11, Y=19
Type=3, X=11, Y=21
Type=3, X=11, Y=23
Type=3, X=11, Y=25
Type=3, X=11, Y=27
Type=3, X=11, Y=29
Type=3, X=11, Y=31
Type=3, X=11, Y=33
Type=6, X=11, Y=35
Type=1, X=10, Y=37
Type=7, X=8, Y=39
Type=7, X=3, Y=40
Type=13, X=7, Y=42
Type=7, X=5, Y=44
Type=3, X=13, Y=46
Type=0, X=2, Y=48
Type=0, X=12, Y=49
Type=7, X=7, Y=51
Type=3, X=3, Y=53
Type=0, X=2, Y=56
Type=3, X=9, Y=60
Type=0, X=8, Y=63
Type=5, X=4, Y=65
Type=0, X=3, Y=67
Type=3, X=7, Y=67
Type=3, X=9, Y=67
Type=7, X=4, Y=70
Type=0, X=12, Y=71
Type=0, X=7, Y=75
Type=3, X=4, Y=77
Type=0, X=3, Y=79
Type=3, X=1, Y=80
Type=3, X=3, Y=80
Type=0, X=11, Y=80
Type=7, X=4, Y=81
Type=0, X=1, Y=83
Type=0, X=8, Y=83
Type=7, X=2, Y=85
Type=0, X=5, Y=88
Type=7, X=9, Y=88
Type=0, X=3, Y=95
Type=13, X=7, Y=100
Type=7, X=6, Y=105
Type=3, X=13, Y=105
Type=7, X=6, Y=107
Type=3, X=12, Y=107
Type=3, X=14, Y=107
Type=7, X=6, Y=109
Type=3, X=13, Y=109
Type=4, X=12, Y=112
Type=13, X=7, Y=116
Type=3, X=11, Y=121
Type=3, X=10, Y=123
Type=3, X=12, Y=123
Type=3, X=11, Y=125
Type=4, X=10, Y=128
Type=0, X=6, Y=131
Type=7, X=7, Y=133
Type=3, X=4, Y=134
Type=3, X=6, Y=134
Type=0, X=0, Y=135
Type=0, X=12, Y=135
Type=0, X=6, Y=138
Type=14, X=9, Y=142
Type=0, X=8, Y=143
Type=0, X=11, Y=147
Type=3, X=12, Y=149
Type=3, X=12, Y=151
Type=3, X=12, Y=153
Type=3, X=12, Y=155
Type=3, X=12, Y=157
Type=3, X=12, Y=159
Type=3, X=12, Y=161
Type=3, X=12, Y=163
Type=3, X=12, Y=165
Type=3, X=12, Y=167
Type=7, X=2, Y=169
Type=6, X=12, Y=169
Type=7, X=5, Y=171
Type=9, X=8, Y=173
Type=5, X=8, Y=175
Type=13, X=6, Y=178
Type=7, X=4, Y=181
Type=7, X=9, Y=181
Type=0, X=3, Y=186
Type=7, X=8, Y=186
Type=3, X=4, Y=188
Type=3, X=3, Y=190
Type=3, X=5, Y=190
Type=13, X=7, Y=190
Type=3, X=4, Y=192
Type=3, X=4, Y=194
Type=13, X=8, Y=195
Type=3, X=3, Y=196
Type=3, X=5, Y=196
Type=3, X=4, Y=198
